experiment_id,id,level,model,splitter,reserved_memory,acc,type,model_path
1734322688,51,class,SimplestCNNClassifier_8layers_Residual,prop_0-2/min_10/RandomSplit_84,8772.0,0.9875693404057172,min,/media/stark/Models/Gustavo/class/1734322688_51_SimplestCNNClassifier_8layers_Residual.pth
1734322688,199,family,SimplestCNNClassifier_8layers_Residual,prop_0-2/min_5/RandomSplit_227,8576.0,0.9708310733441812,min,/media/stark/Models/Gustavo/family/1734322688_199_SimplestCNNClassifier_8layers_Residual.pth
1734322688,275,genus,SimplestCNNClassifier_8layers_Residual,prop_0-2/min_5/RandomSplit_84,5644.0,0.8423423423423423,min,/media/stark/Models/Gustavo/genus/1734322688_275_SimplestCNNClassifier_8layers_Residual.pth
1734322688,137,order,SimplestCNNClassifier_8layers_Residual,prop_0-2/min_10/StratifiedSplit2_14,8758.0,0.9775766916919404,min,/media/stark/Models/Gustavo/order/1734322688_137_SimplestCNNClassifier_8layers_Residual.pth
1734322688,352,species,SimplestCNNClassifier_8layers_Residual,prop_0-2/min_5/RandomSplit_0,2630.0,0.8514792899408284,min,/media/stark/Models/Gustavo/species/1734322688_352_SimplestCNNClassifier_8layers_Residual.pth
1734322688,65,class,SimplestCNNClassifier_8layers_Residual,prop_0-05/min_10/RandomSplit_14,3450.0,0.9902818270165208,mean,/media/stark/Models/Gustavo/class/1734322688_65_SimplestCNNClassifier_8layers_Residual.pth
1734322688,178,family,SimplestCNNClassifier_8layers_Residual,prop_0-1/min_10/RandomSplit_56,4794.0,0.9758359775445448,mean,/media/stark/Models/Gustavo/family/1734322688_178_SimplestCNNClassifier_8layers_Residual.pth
1734322688,288,genus,SimplestCNNClassifier_8layers_Residual,prop_0-2/min_10/RandomSplit_0,5572.0,0.8946863380112751,mean,/media/stark/Models/Gustavo/genus/1734322688_288_SimplestCNNClassifier_8layers_Residual.pth
1734322688,102,order,SimplestCNNClassifier_8layers_Residual,prop_0-1/min_10/RandomSplit_105,5310.0,0.9852824184566428,mean,/media/stark/Models/Gustavo/order/1734322688_102_SimplestCNNClassifier_8layers_Residual.pth
1734322688,370,species,SimplestCNNClassifier_8layers_Residual,prop_0-2/min_10/RandomSplit_56,1340.0,0.9177025289327048,mean,/media/stark/Models/Gustavo/species/1734322688_370_SimplestCNNClassifier_8layers_Residual.pth
1734322688,72,class,SimplestCNNClassifier_8layers_Residual,prop_0-05/min_10/StratifiedSplit2_0,4180.0,0.9922267206477732,max,/media/stark/Models/Gustavo/class/1734322688_72_SimplestCNNClassifier_8layers_Residual.pth
1734322688,231,family,SimplestCNNClassifier_8layers_Residual,prop_0-05/min_10/RandomSplit_227,1946.0,0.98096167927752,max,/media/stark/Models/Gustavo/family/1734322688_231_SimplestCNNClassifier_8layers_Residual.pth
1734322688,319,genus,SimplestCNNClassifier_8layers_Residual,prop_0-05/min_10/StratifiedSplit2_227,1298.0,0.9223021582733812,max,/media/stark/Models/Gustavo/genus/1734322688_319_SimplestCNNClassifier_8layers_Residual.pth
1734322688,159,order,SimplestCNNClassifier_8layers_Residual,prop_0-05/min_10/StratifiedSplit2_227,2710.0,0.9906542056074766,max,/media/stark/Models/Gustavo/order/1734322688_159_SimplestCNNClassifier_8layers_Residual.pth
1734322688,386,species,SimplestCNNClassifier_8layers_Residual,prop_0-05/min_10/RandomSplit_56,518.0,0.95368782161235,max,/media/stark/Models/Gustavo/species/1734322688_386_SimplestCNNClassifier_8layers_Residual.pth
